id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
121659;BOUYGUES TELECOM;1803035;UMTS 900;13/09/2017;69;69141;3G;2025-10-02T15:15:22;692751093;23;25;72.0;Marsolas;Grand Champ;;;69440;69141;45.635 , 4.661388888888889;45°38'6''N 4°39'41''E;En service
380025;FREE MOBILE;2819363;LTE 2600;24/04/2023;78;78418;4G;2025-10-02T15:15:22;780990422;17;5;29.0;;280 Avenue Gabriel Péri;;;78360;78418;48.92833333333333 , 2.144722222222222;48°55'42''N 2°8'41''E;En service
253361;FREE MOBILE;710130;LTE 700;07/10/2019;67;67067;4G;2025-10-02T15:15:22;670990265;23;47;72.0;;196 AV DE STRASBOURG;;;67170;67067;48.70722222222223 , 7.7075000000000005;48°42'26''N 7°42'27''E;En service
829591;TELCO OI;2966154;LTE 1800;12/07/2024;974;97411;4G;2025-10-02T15:15:22;9741203118;17;41,1;29.0;;101 Boulevard de St François;;;97400;97411;-20.899166666666666 , 55.463055555555556;20°53'57''S 55°27'47''E;En service
708297;SFR;862659;LTE 800;30/09/2013;63;63113;4G;2025-10-02T15:15:22;632700008;38;20,2;28.0;;3 r d'Aubrac;;;63000;63113;45.78138888888889 , 3.1172222222222223;45°46'53''N 3°7'2''E;En service
60364;BOUYGUES TELECOM;719692;LTE 2600;28/11/2012;14;14654;4G;2025-10-02T15:15:22;142750228;26;42;74.0;Donville;;;;14170;14654;49.02305555555555 , -0.04583333333333334;49°1'23''N 0°2'45''W;En service
193566;BOUYGUES TELECOM;2996343;LTE 700;09/09/2025;68;68056;4G;2025-10-02T15:15:22;682750469;26;31,1;4.0;;RUE DE FOLGENSBOURG;;;68350;68056;47.721944444444446 , 7.343611111111111;47°43'19''N 7°20'37''E;En service
409641;FREE MOBILE;3105125;5G NR 3500;14/04/2025;21;21680;5G;2025-10-02T15:15:22;210990405;23;36;74.0;LE VERGER;Rue du Cimetière;Chemin Rural n°12;;21270;21680;47.26583333333333 , 5.456388888888889;47°15'57''N 5°27'23''E;Techniquement opérationnel
309765;FREE MOBILE;1826340;LTE 700;;1;1066;4G;2025-10-02T15:15:22;10990244;23;27;72.0;VERS D'AMONT;;;;1510;1066;45.88333333333333 , 5.536111111111111;45°53'0''N 5°32'10''E;Projet approuvé
281058;FREE MOBILE;1474247;LTE 900;23/07/2025;78;78440;4G;2025-10-02T15:15:22;780990088;17;39,9;28.0;;26  AVENUE PAUL RAOULT;;;78130;78440;48.99333333333333 , 1.9133333333333333;48°59'36''N 1°54'48''E;En service
741317;SFR;1710678;LTE 1800;20/06/2018;11;11021;4G;2025-10-02T15:15:22;112700081;23;28;72.0;;ZI DE LA CONDAMINE;;;11140;11021;42.79666666666667 , 2.2269444444444444;42°47'48''N 2°13'37''E;En service
574320;ORANGE;2227157;LTE 800;29/06/2017;32;32106;4G;2025-10-02T15:15:22;322290109;23;20;74.0;;Rue de Mauvezin;Chemin de Christianie;;32430;32106;43.72361111111111 , 0.9716666666666667;43°43'25''N 0°58'18''E;En service
564137;ORANGE;2042538;UMTS 900;28/10/2020;75;75104;3G;2025-10-02T15:15:22;752292110;9;0;45.0;Métro PONT MARIE L7;Quai des Celestins;;;75004;75104;48.85388888888889 , 2.3575;48°51'14''N 2°21'27''E;En service
543259;ORANGE;1565303;LTE 800;04/08/2014;77;77229;4G;2025-10-02T15:15:22;772290352;26;30;74.0;;631 r du Général Leclerc;;;77610;77229;48.75361111111111 , 2.883611111111111;48°45'13''N 2°53'1''E;En service
116021;BOUYGUES TELECOM;1750248;LTE 1800;11/01/2017;26;26362;4G;2025-10-02T15:15:22;262750315;26;22;72.0;;63 RUE LÉON GAUMONT;;;26000;26362;44.920833333333334 , 4.928055555555556;44°55'15''N 4°55'41''E;En service
64358;BOUYGUES TELECOM;757770;LTE 2600;27/11/2024;10;10387;4G;2025-10-02T15:15:22;102750206;38;29;9.0;;5, Cours Jacquin;;;10000;10387;48.30416666666667 , 4.0811111111111105;48°18'15''N 4°4'52''E;En service
62395;BOUYGUES TELECOM;740645;LTE 2100;10/07/2019;1;1275;4G;2025-10-02T15:15:22;12750266;23;35;30.0;Les Sablettes;ech noeud des iles/a42-a46;;;1700;1275;45.80722222222222 , 4.9275;45°48'26''N 4°55'39''E;En service
